title,description,cost,license,app_type,origin,platform,supported_languages
FlowVision,"Waterfall-style image viewer for macOS, offering a smooth and immersive browsing experience. MacOS",Free,Open Source ( GPL-3.0 ),Image Viewer,N/A,Mac,English
iDOS Emulator,"iDOS turns your device right into a powerful DOS gaming PC, with modern game control to make your old favorites as playable as possible.",Pay once,Open Source ( GPL-2.0 ),"DOS Emulator, Game Emulator",China,"iPhone, iPad",English
Trace - Time Tracker,A time tracker that helps you understand how you spend your time.,Pay once,Proprietary,"Time Tracking Tool, Pomodoro Timer",N/A,Mac,English
Mensinator,"Mensinator provides a clean and intuitive interface for tracking your menstrual cycle, monitoring your periods, and viewing essential statistics—all without the need for sign-ups or sharing personal data.",Free,Open Source ( MIT ),Period Tracker,N/A,"Android, F-Droid",English
Tack: Metronome,Tack is a modern metronome app for Android with a beautifully designed interface that has all the features you need for practicing a music piece accurate to the beat. Mobileapp discovery,Free,Open Source ( GPL-3.0 ),Metronome,"Germany, EU","Android, Android Tablet, Android Wear, F-Droid","English, German, Chinese, Japanese"
Cleft Notes,"Just say whatever’s on your mind. Cleft will take your voice, and turn it into beautiful organized notes. Share and export at the click of a button to all your favorite apps. Mobileapp discovery",Freemium (Subscription),Proprietary,Audio Transcription Tool,International,"Mac, iPhone, iPad",English
Ideogram,Experience the magic of turning a text description into beautiful images in a matter of seconds. Ideogram works directly in your browser without needing to download any application or software. WebBrowsers,Freemium (Subscription),Proprietary,AI Image Generator,United States,"Online, iPhone, iPad",English
Keyforge,"Keyforge simplifies software licensing, allowing you to sell your project rapidly and easily. Automate licenses with the Stripe integration - customers receive their license key and relevant details via email upon purchase. Software",Pay once,Proprietary,License Manager,N/A,"Online, Software as a Service (SaaS)",English
Medama,"Medama Analytics is an open-source project dedicated to providing self-hostable, cookie-free website analytics. With a lightweight tracker of less than 1KB, it aims to offer useful analytics while prioritising user privacy.",Free,Open Source ( Apache-2.0 ),Web Analytics Service,Japan,"Self-Hosted, Docker",English
Rainbow Ethereum Wallet,"Rainbow is a fun, simple, and secure way to get started with crypto and explore the new world of Ethereum. You can use Rainbow to manage and display Ethereum-based assets on mainnet, Polygon, Optimism, Arbitrum, Base, and Zora.",Free,Open Source ( GPL-3.0 ),Crypto Wallet,United States,"Android, iPhone, Google Chrome, Mozilla Firefox, Microsoft Edge",English
Dime: Budget & Expense Tracker,Dime is a beautiful expense tracker built with iOS design guidelines in mind.,Free,Open Source ( GPL-3.0 ),"Budget Manager, Personal Finance Tool",Singapore,iPhone,English
Sky Digital,"Sky Digital combines data from vetted sources such as the National Weather Service, NOAA, the High-Resolution-Rapid-Refresh (HRRR) model, and more for a well-balanced, world-class forecast. Efficiently access reliable weather information within a beautifully organized design.",Freemium (Pay once),Proprietary,Weather Forecast Tool,United States,"iPhone, iPad, Android, Android Tablet",English
memoria — private journal,"Frustrated with endless subscriptions and the unpredictability of closed-source apps? Longing for a diary that is as private as it is stylish? memoria offers a minimalist, modern design where your data remains with you — no analytics, no tracking, and fully self-hostable. Mobileapp discovery",Pay once,Open Source ( AGPL-3.0 ),"Journaling App, Private Diary",N/A,"Android  , iPhone, Android Tablet  , iPad","English, German"
Search Ace,"Search Ace is a browser that specializes in web searches and keyword searches, and can save battery and data with an Ad Blocker WebBrowsers",Pay once,Proprietary,Web Browser,N/A,"iPhone, iPad, Apple Watch","English, Arabic, Chinese, Hebrew, Japanese, Ukrainian"
MaxFocus,"MaxFocus is a browser extension that helps you stay focused while browsing. Instead of opening new tabs, you can preview links right on the page you're on. Just long-click or drag a link, and a small window opens with a page preview. WebBrowsers",Freemium (Pay once or Subscription),Proprietary,N/A,N/A,"Microsoft Edge, Google Chrome, Mozilla Firefox","English, Arabic, Ukrainian, French, Spanish, Portuguese, Chinese, Japanese, German, Russian, Korean"
ManageMeals,"ManageMeals is a simple, easy-to-use platform to manage recipes. Import recipes by URL and organize them without any ads or unnecessary text.",Free,Open Source ( GPL-3.0 ),"Recipe Manager, Grocery List App",N/A,"Online, Self-Hosted",English
SurfPal,"SurfPal is a time management Chrome extension to track, analyze, and limit your time spent on each website, helping you measure and improve your browsing habits, combat addiction, and enhance productivity.",Freemium (Pay once),Proprietary,Time Tracking Tool,N/A,Google Chrome,"English, Chinese, Japanese"
Audiomatic,"Audiomatic is a web app that seamlessly translates videos into other languages. Our state-of-the-art pipeline delivers contextually-accurate dubbed translations that preserve the tone, style, and emotion of the original speakers. Software",Freemium (Subscription),Proprietary,"Text to Speech Service, Translator",N/A,Online,English
Screenify,"Screenify is free software for capturing screen, audio, webcam, and mic on Windows and Mac. It supports 4K at 60fps, offers noise reduction, and customizable settings. Export in various formats including MP4, GIF, MOV. No limits on duration or ads, ensuring professional videos. FreeVPN services",Free,Proprietary,"Screen Recorder, Screenshot Capture Tool",China,"Mac, Windows",English
Hology Engine,3D game engine that uses web technologies. Perfect for those who already know TypeScript and want to collaborate with designers and artists to create 3D experiences.,Freemium (Subscription),Proprietary,Game Development Tool,"Sweden, EU","Windows, Mac, Linux",English
PageOn,"PageOn is a AI presentation and media tool designed for the new generation of users.Transform Ideas into Stunning Slides. Simply input your topic, and our AI handles the rest.",Freemium (Subscription),Proprietary,"Presentation Maker, Slideshow Maker",N/A,Online,English
FadCam,"Open-source, ad-free Android multimedia recorder with background video recording, screen recording, live streaming, and remote camera control. AndroidOS",Freemium (Pay once),Open Source ( GPL-3.0 ),Camera App,Pakistan,"Android, F-Droid",English
Outside,Outside is an iOS app that helps you get the most out of life and spend more time with the people you care about. Add your countdown widget to look forward to events and share your calendar with friends to find time to spend together. Software,Freemium (Subscription),Proprietary,N/A,N/A,"Mac, iPhone, iPad",English
Walker,Walker is a highly extendable application launcher that doesn't hold back on features and usability. Fast. Unclutters your brain. Improves your workflow. Software,Free,Open Source ( GPL-3.0 ),"Application Launcher, File Search Utility",N/A,Linux,English
Postiz,"AI social platform for automated scheduling across channels, built-in visual design with AI generation, cross-posting, collaboration features, integrated analytics, influencer marketplace, and audience-building tools to manage and optimize all social media workflows.",Subscription,Open Source ( AGPL-3.0 ),"Social Media Management Tool, Social Media Analytics",Israel,"Online, Self-Hosted, Software as a Service (SaaS), Cloudron",English
RingTheBell,"Discover RingTheBell, the ultimate free kanban board tool designed to make task management effortless and effective. The platform offers a simple, user-friendly interface that helps you organize and prioritize your tasks with ease.",Free,Proprietary,"Project Management Tool, Task Management Tool",N/A,"Online, Software as a Service (SaaS)",English
SubTypo,"Android video subtitle editor - SubTypo benefits: doesn't collect data, free to use, user-friendly interface, ad-free. AndroidOS",Free,Open Source ( GPL-3.0 ),Subtitle Editor,N/A,"Android, F-Droid",English
Capy Reader,"Just like its namesake, Capy Reader is a small RSS reader focused on approachability and simplicity.",Free,Open Source ( GPL-3.0 ),"RSS Reader, News Reader",United States,"Android, Android Tablet, F-Droid",English
WG Tunnel,"This is an alternative Android Application for WireGuard and Amnezia VPN with added features. Built using the wireguard-android library and Jetpack Compose, this application was inspired by the... AndroidOS",Free,Open Source ( MIT ),"VPN Service, VPN Client",United States,"Windows, Linux, Android, Android Tablet, F-Droid","English, Russian, Ukrainian, Turkish, German, Spanish, Portuguese, Czech"
Remusic,"Explore the future of AI-generated music with Remusic, the revolutionary AI music generator designed to transform how you make, create, and enjoy music.",Free,Proprietary,"AI Music Generator, Music Production App",N/A,"Online, Software as a Service (SaaS)","English, Chinese, Japanese"
Book's Story,"Material3 eBook reader - Book's Story. Built with Jetpack Compose. Free & Open Source & Ad Free. 4 supported file formats (.txt, .pdf, .epub, .fb2), 2 supported languages. Lots of customization. Freesoftware listings",Free,Open Source ( GPL-3.0 ),"Ebook Reader, PDF Reader",N/A,"Android, F-Droid",English
Mega HR,"Comprehensive AI-driven recruitment platform automating 78% of tasks, featuring applicant tracking, interview scheduling with calendar sync, and AI note-taking, ensuring efficient hiring management.",Subscription,Proprietary,HRM Software,United States,Online,English
Supersimple,"Business Intelligence is now self-service with Supersimple, ideal for fast-growing SaaS companies. It empowers anyone on your team to answer complex data questions quickly without the need for coding. Specifically designed for B2B SaaS companies, Supersimple offers insights into...",Subscription,Proprietary,Business Intelligence Tool,N/A,Online,English
RoMo,RoMo is an employee recognition app that makes culture values part of everyday conversations inside Slack and Microsoft Teams. Applicationsoftware reviews,Freemium (Subscription),Proprietary,HRM Software,N/A,"Online, Slack App Directory, Microsoft Teams",English
Tickr: Event Countdown,"Tickr is your personal countdown companion, helping you stay excited and organized for all of life's big moments and important deadlines. Tickr is free to use with core features, and offers a Pro upgrade for power users!. Opensource software",Free,Proprietary,Time Tracking Tool,N/A,"iPhone, iPad","English, Spanish, Portuguese, Turkish, Polish, Chinese"
Toolstash,"Toolstash is a free tool tracking app for homeowners & hobbyists. Keep track of what tools you have & where you put them, remember which neighbor borrowed what, and find out who nearby has that obscure tool you need for your upcoming weekend project! Opensource software",Free,Proprietary,Home Inventory App,United States,iPhone,English
Prisme Analytics,"Prisme Analytics is an Open Source, privacy-focused and progressive analytics service.",Freemium (Subscription),Open Source ( AGPL-3.0 ),Web Analytics Service,"France, EU","Online, Self-Hosted, Software as a Service (SaaS)",English
UI Colorful,"UI Colorful is an advanced AI-powered color theme generator designed to create custom Shadcn UI themes from any image or color, streamlining your design process.",Free,Proprietary,N/A,United States,Online,English
Dashbreeze,Dashbreeze is a powerful yet user-friendly dashboard-building platform designed to simplify data visualization and empower users to make informed decisions.,Freemium (Subscription),Proprietary,Business Intelligence Tool,N/A,"Online, Software as a Service (SaaS)",English
CleanSnap,"CleanSnap is a cutting-edge AI Images maker that allows you to effortlessly transform your screenshots into stunning images in just seconds. With CleanSnap, you can create professional-looking visuals without any watermarks and share your creations on popular social media...",Free,Proprietary,"Mockup Generator, Screenshot Capture Tool",N/A,Online,English
Dashbreeze,Dashbreeze is a powerful yet user-friendly dashboard-building platform designed to simplify data visualization and empower users to make informed decisions.,Freemium (Subscription),Proprietary,Business Intelligence Tool,N/A,"Online, Software as a Service (SaaS)",English
CleanSnap,"CleanSnap is a cutting-edge AI Images maker that allows you to effortlessly transform your screenshots into stunning images in just seconds. With CleanSnap, you can create professional-looking visuals without any watermarks and share your creations on popular social media...",Free,Proprietary,"Mockup Generator, Screenshot Capture Tool",N/A,Online,English
Hunch,"Hunch is a new kind of workspace for AI-first work, empowering users to create custom AI workflows without any programming. It's as simple as connecting blocks, each representing a specific task. The workspace lets you harness any AI model to be more productive and creative.",Free,Proprietary,N/A,United States,Online,English
AB Download Manager,"With this app, you can easily download files from anywhere. Enjoy fast, free downloads with seamless browser extension support. MobileApps & Add-Ons",Free,Open Source ( Apache-2.0 ),"Download Manager, Video Downloader",Iran,"Mac, Windows, Linux, Android, Microsoft Edge, Google Chrome  , Brave, Chromium, Mozilla Firefox  ","English, Persian, Arabic, French, Portuguese, Spanish, Russian, Turkish, Ukrainian, Chinese, Italian, Indonesian, German, Georgian"
solidtime,"solidtime is a modern open-source time tracker. It offers features like management of time entries in projects, tasks and clients, billable rates, reporting and tracking time for multiple organizations with the same account.",Freemium (Subscription),Open Source ( AGPL-3.0 ),Time Tracking Tool,"Austria, EU","Online  , Self-Hosted  , Software as a Service (SaaS)  ",English
Pineify,"Efficiently generate buy/sell indicators and custom strategies for TradingView Pine Script code creator. The best indicator and strategy backtest builder.
Easily create your own indicators and strategies without any coding skills, saving both time and money on freelancers.",Freemium (Pay once),Proprietary,"Stock Trading App, Trading Platform",N/A,Online,English
Marvel Rivals,"Engage in a team-based PVP shooter set in the Marvel Universe. Assemble iconic heroes and villains for strategic battles with unique abilities, dynamic gameplay, and destructible environments. Developed by NetEase, the game offers continual online updates and a rich Marvel narrative.",Freemium (Pay once),Proprietary,N/A,China,"Windows, Epic Games Store, Steam, Playstation, Xbox","English, Japanese, Korean, French, Chinese, Spanish, German, Italian, Portuguese"
Hanon Pro,"Hanon Pro is an app for iPhone, iPad, and Mac that offers a fresh, modern take on keyboard and piano technique and exercises for the digital age.",Freemium (Pay once),Proprietary,Piano Trainer,United States,"Mac, iPhone, iPad",English
TotalPause,"TotalPause is a break reminder tool designed to remind you to take breaks and help you calm down and focus, enhancing productivity and promoting a healthier lifestyle.",Freemium (Pay once),Proprietary,"Prevent RSI App, Health Tool",N/A,Mac  ,"English, Chinese"
Unique Domains,"Spot short, memorable domain names that earn trust, dominate search engines, and appreciate over time. Evaluate demand, SEO, ROI and invest at the market’s best price.",Subscription,Proprietary,N/A,N/A,"Software as a Service (SaaS), Online",English
LlamaTutor,An AI personal tutor who can explain any subject at any education level using up-to-date sources. 100% free and open source. FreeVPN services,Free,Open Source,AI Writing Tool,United States,Online,English
Pikzels,"This innovative AI tool crafts YouTube thumbnails by transforming user ideas into striking visuals in seconds. With features like FaceSwap and video title generation, it enables content creators to seamlessly tailor their content for maximum audience engagement and recognition.",Subscription,Proprietary,N/A,N/A,Online,English
KeyKeeper,"Experience secure and centralized license key management on macOS with KeyKeeper. Enjoy intuitive features like iCloud Sync, one-click copy, CSV import/export, custom sorting, and offline mode, prioritizing data security through encryption and optional sync flexibility.",Pay once,Proprietary,License Manager,Egypt,Mac,English
Crayo.ai,"Rapidly create engaging TikTok clips with Crayo.ai's AI by auto-generating captions, effects, backgrounds, and music. Customize your video using free templates and scripts, then export your content in your chosen format for fast, efficient, and impactful result.",Subscription,Proprietary,Video Editor,United States,Online,English
OuterTune,"Modern Android music player based on Material 3 design featuring ad-free YouTube Music streaming, account login and sync, offline caching, library tools, personalized quick picks, lyrics, audio effects, Android Auto integration, and multilingual support.",Free,Open Source ( GPL-3.0 ),"Music Streaming Service, Audio Player",N/A,Android,"English, Bulgarian, French, Italian, Japanese, Korean, Persian, Polish, Portuguese, Russian, Spanish, Turkish, Ukrainian"
Word Slicer,"Word Slicer is an interactive web-based word game featuring sliders with letters to uncover hidden words using the slicer. Players strategically choose letters to reveal words from a secret list, adding a captivating blend of linguistic exploration and strategic gameplay for...",Free,Proprietary,Word Game,N/A,Online,"English, Danish"
ClmnApp,Just columns and tasks.,Free,Open Source ( BSD-2-Clause ),"Todo List Manager, Task Management Tool",Serbia,Mac,English
Public Work,"Public Work is a visual search engine for public domain content. Explore 100,000+ copyright-free images from The MET, New York Public Library, and other sources.",Free,Proprietary,Stock Photo Service,Canada,Online,English
ThinkPost,"Interactive split-screen diagramming, draggable block-based note-taking, and brainstorming tool. Super charged productivity with seamless parallel streaming of ideas.",Free,Proprietary,"Note-taking Tool, Todo List Manager",N/A,"Online, Software as a Service (SaaS)",English
CopyCat Clipboard,"Sync clipboard across devices in real-time, organize unlimited items into collections, search clipboard history instantly, recover previous content, personalize settings, store text and links, and access a user-friendly interface across phone, tablet, and computer platforms.",Freemium (Subscription),Open Source,Clipboard Manager,United States,"Mac, Windows, Android, iPhone, Android Tablet, iPad",English
Checker – Track Anything,"Checker is an app that can help you make new habits stick and be more consistent with any goal you're working towards. It provides an easy way to check in on the actions you're tracking and then displays your progress in a calendar grid, making it easy to see patterns... Mobileapp discovery",Freemium (Pay once),Proprietary,Habit Tracker,N/A,iPhone,"English, French, German, Portuguese, Chinese, Spanish, Ukrainian"
Briefer,"Briefer is the multiplayer notebook that lets you run SQL and Python, and turn notebooks into dashboards and data apps.",Freemium (Subscription),Proprietary,Jupyter Notebook,N/A,"Online, Software as a Service (SaaS)",English
DeskDingo,Live chat software for your website. The base package is free forever and no credit card is required to use it. Additional paid features can be added as needed. Software,Freemium (Subscription),Proprietary,N/A,N/A,Online,English
Fluxtube,"Private, ad-free client for YouTube videos, supporting channel subscriptions, comment reading, video saving, dislike count, live streams, multi-language interface, regional preferences, audio selection options, and playback up to 4K resolution.",Free,Open Source ( GPL-3.0 ),"YouTube Client, YouTube Downloader",India,"Android, F-Droid",English
monday service,"Monday Service, product of monday.com , is a platform designed to streamline service delivery for businesses of various sizes. It includes a user-friendly interface, customizable settings, and AI-powered automations.",Subscription,Proprietary,IT Service Management Software,Israel,"Online, Software as a Service (SaaS)",English
Dumb Phone,"Turn your iPhone into a Dumb Phone.




Dumb Phone lets you create your very own minimalist phone on iOS.




Replace colorful app icons, pesky notification badges, and anything that might give you a dopamine hit when you unlock your phone, with simple buttons to open your essential ap. Software",Freemium,Proprietary,Application Launcher,United States,iPhone,"English, Danish, Dutch, Finnish, French, German, Hindi, Indonesian, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Russian, Chinese, Spanish, Swedish, Turkish, Vietnamese, ▾"
Stable Video 4D,"Stable Video 4D (SV4D) is a generative model based on Stable Video Diffusion (SVD) and Stable Video 3D (SV3D), which takes in a single-view video of an object and generates multiple novel-view videos (4D image matrix) of that object.",Free Personal,Proprietary,N/A,United Kingdom,Online,English
AT Protocol,"The AT Protocol is a networking technology created to power the next generation of social applications. The initial reference application, bsky.app, provides a global-scale microblogging experience.",Free,Open Source,N/A,United States,Self-Hosted,English
Proton Wallet,"Proton Wallet is a self-custody wallet, meaning we use end-to-end encryption to ensure that you are the only one with access to your wallet's encryption keys.",Free,Open Source ( GPL-3.0 ),"Crypto Wallet, Cryptocurrency Exchange",Switzerland,"Online, Software as a Service (SaaS), Android, iPhone","English, Italian"
Modul.so,"Easily build beautiful personal sites. Start that blog, portfolio, link-in-bio, online resume you've been dreaming of.",Freemium,Proprietary,"Website Builder, Landing Page Creator",N/A,Online,English
NotchNook,"A whole new way of using macos! NotchNook is a new Mac app that transforms your MacBook's notch into a dynamic, functional feature akin to the iPhone's Dynamic Island. Software",Pay once or Subscription,Proprietary,Desktop Customization Tool,N/A,Mac,English
Docmost,"Open-source wiki and documentation solution offering real-time collaborative editing, robust permissions, group management, spaces for organizing content, inline commenting, full-page history, advanced full-text search, nested pages, attachments, and flexible storage.",Freemium (Pay once),Open Source ( AGPL-3.0 ),"Note-taking Tool, Todo List Manager",United States,"Software as a Service (SaaS)  , Self-Hosted, Docker, Cloudron",English
Duey.AI,"AI-based tool supporting students with thesis creation, essay drafting, source identification, citation help, and editing. Features assignment-specific guidance, academic integrity tools, evasion of detection software, and cloud access for flexible use. Software",Subscription,Proprietary,"AI Writing Tool, AI Content Detector",Canada,Online,English
Fossify Keyboard,"Introducing Fossify Keyboard – your go-to solution for effortless and efficient typing. Experience a seamless typing experience designed to cater to all your needs, whether chatting with friends or inserting texts, numbers, or symbols.",Free,Open Source ( GPL-3.0 ),Mobile Keyboard,India,"Android, F-Droid",English
noplace,"noplace is the place to express urself and connect with others who have similar interests! Gain levels, earn badges, and make friends, all while using ur completely customizable profile to share what u r doing, watching, listening to, eating, and more.",Free,Proprietary,Social Network,N/A,iPhone,English
Paperize,"Paperize is a dynamic wallpaper changer application built for Android using Kotlin, Jetpack Compose, and Material 3. Software",Free,Open Source ( GPL-3.0 ),Wallpapers Hub,United States,"Android, F-Droid",English
TemporaryMail,"Tired of spam filling your inbox? This tool offers a quick solution by generating temporary, disposable email addresses (temp mail). Just copy your assigned address or create a new one, and you'll immediately start receiving emails in your disposable inbox that is shown...",Free,Proprietary,"Disposable Email Service, Anti-Spam Tool",United States,"Online, Microsoft Edge, Google Chrome, Opera, Mozilla Firefox",English
Apple Intelligence,"Provides AI-powered writing tools, image generation, Genmoji, and memory movies; enhances Siri with deeper context and actions; integrates ChatGPT for complex tasks; prioritizes on-device processing for privacy; unifies features across Apple devices with Private Cloud Compute.",Free,Proprietary,"AI Chatbot, AI Writing Tool",United States,"Mac, iPhone, iPad",English
Color Rush,"Web designers will literally guess hex codes with 80% accuracy before going to therapy, are you one of them? Color Rush is a game where you guess the HEX values of each image, only for true die-hard designers 🔥.",Free,Proprietary,Puzzle Game,United States,Online,English
vanish.so,"A vanishing note service supporting aes-gcm 256, custom passwords via pbkdf2, and one-time pads.",Free,Open Source,N/A,United States,Online,English
ShowCase App,ShowCase (formerly Movie DB) is a fully open-source android application for exploring and organizing your personal collection of films and television series. Software,Free,Open Source ( GPL-3.0 ),"Media Manager, Episode Tracker",India,"Android, F-Droid",English
Showdown,"Showdown is an easy-to-use tool for quickly creating presentations using Markdown. It's perfect for those times where you need to whip up a presentation within minutes rather than hours, like for a sprint review or presenting your findings on that experiment for your team.",Free,Proprietary,Presentation Maker,"Sweden, EU",Mac,English
Spence,"Spence is an AI-powered tool that streamlines job applications and enhances career opportunities. It personalizes the job search and supports 25 languages for global accessibility. Spence helps customize resumes and cover letters, optimizes them for Applicant Tracking Systems... Applicationsoftware reviews",Freemium,Proprietary,N/A,Canada,"Online, Google Chrome, Mozilla Firefox",English
Push Lap Growth,"Affiliate software for startups with a customizable portal, referral automation, fraud protection, 0% transaction fees, marketplace access, multi-currency payouts, commission tiers, real-time analytics, flexible integration, custom domains, and API support. Software",Subscription,Proprietary,Affiliate Marketing Tool,United States,Online,English
Wora,"Open-source lossless music player with playlist creation, support for FLAC, WAV, Dolby, and common formats, attractive interface, quick command controls, synced and unsynced lyrics, minimal resource use, and cross-platform compatibility for music library management.",Free,Open Source ( MIT ),"Audio Player, Media Player",India,"Mac, Windows, Linux",English
Unyo,"Unyo is a desktop application (inspired from Dantotsu) where you can watch and read your favourite animes and mangas, it is fully integrated with . Software",Free,Open Source ( GPL-3.0 ),Comic and Manga Reader,"Portugal, EU","Mac, Windows, Linux",English
AWS App Studio,"AWS App Studio is a generative AI–powered, low-code application building service. Start building business applications, without software development skills, in minutes. MobileApps & Add-Ons",Freemium,Proprietary,"Web App Development Tool, Application Builder",United States,"Online, Amazon Web Services, Software as a Service (SaaS)",English
Kerlig,"Kerlig for macOS brings AI to any app. It's your in-context AI writing assistant. No subscriptions. Works with OpenAI, Claude, Gemini, Groq. Software",Pay once,Proprietary,"AI Writing Tool, AI Chatbot",N/A,Mac,English
Zen Browser,"Experience a privacy-focused, open-source browser rich with features like vertical tabs, Split View, Zen Glance, and extensive security protocols. Built on Firefox, it's currently in beta, emphasizing privacy and adaptability, with future plans for horizontal tabs. OpenSource",Free,Open Source ( MPL-2.0 ),Web Browser,"Spain, EU","Mac, Windows  , Linux, Arch Linux, Flathub, Flatpak, AppImage","English, Catalan; Valencian, Chinese, Czech, Finnish, French, German, Hungarian, Italian, Irish, Japanese, Korean, Lithuanian, Polish, Portuguese, Russian, Spanish, Turkish, Ukrainian, Vietnamese, Welsh, ▾"
ChatLabs,"ChatLabs is a comprehensive AI platform that provides access to over 30 leading AI models in one place, including GPT-4, Claude, Gemini, Llama 3, DALL-E 3, and Stable Diffusion.",Subscription,Proprietary ( MIT ),"AI Chatbot, AI Writing Tool",United States,"Online  , Google Chrome, Software as a Service (SaaS)",English
ChatLabs,"ChatLabs is a comprehensive AI platform that provides access to over 30 leading AI models in one place, including GPT-4, Claude, Gemini, Llama 3, DALL-E 3, and Stable Diffusion.",Subscription,Proprietary ( MIT ),"AI Chatbot, AI Writing Tool",United States,"Online  , Google Chrome, Software as a Service (SaaS)",English
Shram,"Shram is a gamified work management tool. Not only can you manage projects and tasks but also get real-time reports on each team member's performance. Your productivity is no longer based on number hours worked, but your outcome.",Freemium (Subscription),Proprietary,N/A,N/A,Online,English
Moshi,"Moshi is an innovative AI chatbot with advanced voice recognition, real-time interaction, and dual audio streams, setting up a new standard for voice-based chatbots.",Free,Proprietary,"AI Chatbot, Large Language Model (LLM) Tool",Japan,Online,English
Comma,Comma is an open source blogging platform with a minimal and beautiful page.,Subscription,Open Source ( AGPL-3.0 ),"Blog Publishing Tool, Microblog",N/A,Online,English
NymVPN,"Decentralized VPN featuring mixnet technology to encrypt traffic and obscure metadata, provides 5-hop and 2-hop privacy modes, WireGuard for speed, AmneziaWG for censorship resistance, hides IP and location, blocks ads, and does not support centralized logs.",Subscription,Open Source ( GPL-3.0 ),"VPN Service, VPN Client",Switzerland,"Mac, Windows, Linux, Android, iPhone, Android Tablet, iPad, AppImageHub, Arch Linux, Flathub, F-Droid, WireGuard, Ubuntu, Debian, Flatpak, GitHub","English, German, Spanish, French, Italian, Portuguese, Turkish, Russian, Ukrainian, Arabic, Persian, Chinese, Japanese"
FUTO Keyboard,"We are building a modern keyboard that respects your privacy and security. 100% offline and 100% private, the FUTO Keyboard is equipped with all of your favorite features including but not limited to swipe typing, offline voice input, smart autocorrect, theme selection, and...",Freemium (Pay once),Proprietary,Mobile Keyboard,United States,"Android, Android Tablet, F-Droid",English
Motiff,"Motiff is the UI design tool for the AI era. Get powerful Al and comprehensive design features, prototyping, Dev Mode, and an all-in-one platform.",Freemium (Subscription),Proprietary,"UI Design Tool, Prototyping Tool",United States,"Mac, Windows, Online, Android, iPhone, Android Tablet, iPad, Software as a Service (SaaS)","English, Chinese"
ViBox,"Make your desktop truly yours with the power of wide-ranging personalization options offered by ViBox. We believe that your desktop should reflect your style, needs, and preferences, and that's why we've crafted a widget experience that goes beyond the ordinary.",Free,Proprietary,Desktop Customization Tool,International,"Mac, Windows",English
Clockech,"Insights, control, and security. The analytics platform for modern websites.",Freemium (Subscription),Proprietary,Web Analytics Service,N/A,"Online, Software as a Service (SaaS)",English
Lemon Squeezy,"Merchant of record platform for online vendors with global payment processing, tax management, fraud prevention using real-time AI, dunning for failed payments, local currency and bank payouts, and worldwide digital product, SaaS, and subscription sales support.",Freemium (Subscription),Proprietary ( MIT ),Payment Gateway,United States,Online,English
